Gorod_PP_sokr;Город_ПП;ID;Год_Поступления;КодФакультета;Город_УЗ;Тип_УЗ;Пол;Основания;Изучаемый_Язык;Страна_ПП;Регион_ПП;Общежитие;Страна_Родители;Село;Иностранец;ЕГЭ;Общий балл;Тип паузы после УЗ;Месяц рождения;Наличие_Матери;Наличие_Отца;Статус;Код_группы;God_GR;Vozrast_to_VUS;Количество поступавших из города
Барнаул;Барнаул;52112;2013;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;82;поступил сразу;07;0;0.0;4;16940;1997;16;6861
Барнаул;Барнаул;68315;2014;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;74;свыше 10 лет;01;0;0.0;4;18872;1981;33.5;6861
Горно;Горно;72483;2015;41.0;Горно-Алтайск;Гимназия;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;0;60.99;поступил сразу;09;0;0.0;4;17434;1997;17.8333333333333;113
Барнаул;Барнаул;47423;2012;27.0;не указано;не указано;Жен;ОО;нет данных;Россия;Алтайский край;1;Россия;0.0;0.0;1;61;нет данных об обучении до ВУЗа;01;1;1.0;4;14625;1994;18.4166666666667;6861
Барнаул;Барнаул;66905;2014;26.0;Заринск;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;45;поступил сразу;11;0;0.0;4;19244;1996;17.6666666666667;6861
Барнаул;Барнаул;65372;2014;24.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;50;поступил сразу;01;0;0.0;4;20218;1995;19.5;6861
Барнаул;Барнаул;71341;2015;28.0;Барнаул;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;72;поступил сразу;04;0;0.0;4;19460;1996;19.25;6861
Харитоново;Харитоново;52334;2013;41.0;Алтайский Край;средняя школа;Жен;ЦН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;43;поступил сразу;09;0;0.0;3;13780;1995;17.8333333333333;8
малое поселение;Сидоровка;86681;2018;40.0;Барнаул;ФГБОУ ВО;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;72;поступил сразу;05;1;1.0;4;22176;1992;26.0833333333333;4
малое поселение;Гуанчжоу;84461;2017;51.0;Китай;средняя школа;Жен;ДН;Английский язык;Китай;Гуандун пров.;1;Китай;0.0;1.0;1;43;два года;01;1;1.0;4;19904;1997;20.5;2
Ая;Ая;86033;2018;41.0;Алтайский Край;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;62.64;поступил сразу;08;1;1.0;3;20488;2002;15.8333333333333;6
Барнаул;Барнаул;55927;2013;27.0;Алтайский Край;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;60;поступил сразу;09;0;0.0;4;16836;1995;17.75;6861
Барнаул;Барнаул;84005;2017;26.0;Москва;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;85;поступил сразу;01;1;1.0;4;20889;1996;21.5;6861
малое поселение;Муданьцзян;78868;2016;51.0;Китай;Училище;Муж;СН;Английский язык;Китай;Хэйлунцзян;1;Китай;0.0;1.0;1;35;от 5 до 10 лет;09;1;1.0;4;18678;1986;29.8333333333333;1
малое поселение;Рыбное;67087;2014;28.0;Алтайский Край;средняя школа;Муж;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;58;поступил сразу;02;0;0.0;3;15356;1997;17.3333333333333;3
Шелаболиха;Шелаболиха;72525;2015;41.0;Алтайский Край;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;0;69;поступил сразу;01;0;0.0;4;17436;1998;17.5;18
малое поселение;Майкота;67431;2014;41.0;Таджикистан;иное;Муж;ОО;Английский язык;Таджикистан;Согдийская обл;0;Россия;1.0;1.0;0;65.25;поступил сразу;12;0;0.0;4;18244;1998;15.5;1
Барнаул;Барнаул;69918;2015;51.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;96;поступил сразу;04;0;0.0;4;17309;1993;22.25;6861
Бийск;Бийск;58263;2013;48.0;Бийск;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;55.5;поступил сразу;09;0;0.0;3;13941;1995;17.8333333333333;540
малое поселение;Артыбаш;86175;2018;41.0;Алтайский Край;средняя школа;Муж;ДН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;0;63;поступил сразу;03;1;1.0;4;21238;2000;18.3333333333333;3
Барнаул;Барнаул;66426;2014;25.0;Бийск;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;65;один год;12;0;0.0;4;18891;1994;19.5;6861
Крестьянка;Крестьянка;65499;2014;40.0;Новосибирск;ФГБОУ ВО;Жен;ОО;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;93;свыше 10 лет;03;0;0.0;4;15400;1979;35.25;7
Барнаул;Барнаул;72459;2015;41.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;поступил сразу;05;0;0.0;3;16032;1999;16.1666666666667;6861
Лебяжье;Лебяжье;57262;2010;51.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;90;три года;09;1;1.0;4;15130;1990;19.8333333333333;8
Новоалтайск;Новоалтайск;55515;2013;26.0;Новоалтайск;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;67;поступил сразу;10;0;0.0;4;17110;1995;17.75;398
Верх;Верх;74662;2016;51.0;Алтайский Край;средняя школа;Жен;БН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;84;поступил сразу;09;1;1.0;4;20666;1998;17.8333333333333;48
Барнаул;Барнаул;56016;2013;28.0;иное;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;82;поступил сразу;10;0;0.0;4;16885;1995;17.6666666666667;6861
Смоленское;Смоленское;65833;2014;24.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;77;поступил сразу;12;0;0.0;4;18922;1996;17.5833333333333;25
Барнаул;Барнаул;86955;2018;51.0;Барнаул;ФГБОУ ВО;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;один год;12;1;1.0;4;21059;1994;23.5833333333333;6861
Тальменка;Тальменка;80834;2017;27.0;Алтайский Край;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;53;один год;05;1;1.0;3;18994;1998;19.1666666666667;56
неизвестно;неизвестно;68374;2014;45.0;не указано;не указано;Жен;СН;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;34;нет данных об обучении до ВУЗа;01;1;1.0;3;17122;1999;15.5;490
Барнаул;Барнаул;65967;2014;25.0;Барнаул;техникум;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;51;свыше 10 лет;04;0;0.0;3;21850;1985;29.25;6861
Барнаул;Барнаул;54434;2013;51.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;поступил сразу;01;0;0.0;3;19475;1995;18.5;6861
Риддер;Риддер;74438;2016;27.0;Казахстан;средняя школа;Жен;ОО;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;61;поступил сразу;09;1;1.0;3;18486;1998;17.8333333333333;44
малое поселение;Украинский;68424;2014;25.0;Барнаул;ФГБОУ ВО;Жен;ДН;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;56;один год;01;0;0.0;3;14421;1995;19.5;3
Барнаул;Барнаул;66165;2014;36.0;не указано;не указано;Жен;ОО;нет данных;Россия;Алтайский край;0;Россия;0.0;0.0;1;52;нет данных об обучении до ВУЗа;10;1;1.0;4;18230;1995;18.75;6861
малое поселение;Аксу;89095;2019;30.0;Казахстан;средняя школа;Муж;ОО;Английский язык;Казахстан;Павлодарская обл.;1;Казахстан;0.0;1.0;1;66;два года;08;0;0.0;-1;21976;1999;19.9166666666667;5
Барнаул;Барнаул;55516;2013;26.0;Алтайский Край;средняя школа;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;71;поступил сразу;06;0;0.0;3;18314;1996;17.0833333333333;6861
Ларичиха;Ларичиха;70318;2015;25.0;Барнаул;ФГБОУ ВПО;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;80;поступил сразу;04;0;0.0;4;17282;1993;22.1666666666667;8
Барнаул;Барнаул;66713;2014;26.0;Казахстан;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;65;один год;07;0;0.0;4;19233;1995;19;6861
малое поселение;Маркаколь;81247;2017;34.0;Барнаул;ФГБОУ ВО;Муж;БН;Английский язык;Казахстан;Казахстан;1;Казахстан;0.0;1.0;1;89;поступил сразу;03;1;1.0;4;19974;1994;23.3333333333333;1
Барнаул;Барнаул;65609;2014;34.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;95;поступил сразу;05;0;0.0;4;15431;1992;22.1666666666667;6861
Барнаул;Барнаул;56071;2013;28.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;91;поступил сразу;09;0;0.0;3;12500;1990;22.8333333333333;6861
Турочак;Турочак;87221;2018;25.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;82;один год;11;1;1.0;3;21175;1995;22.6666666666667;16
малое поселение;Юрга;81343;2017;51.0;иное;средняя школа;Муж;ОО;Английский язык;Россия;Кемеровская область;0;Россия;0.0;0.0;1;70;от 5 до 10 лет;06;1;1.0;3;19913;1988;29.0833333333333;5
Барнаул;Барнаул;64953;2014;27.0;Барнаул;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;69;поступил сразу;05;0;0.0;3;14640;1996;18.1666666666667;6861
Барнаул;Барнаул;77459;2016;25.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;32;поступил сразу;06;1;1.0;4;19781;1995;21;6861
Ребриха;Ребриха;86542;2018;34.0;Барнаул;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;64;от трех до пяти лет;12;1;1.0;3;21206;1991;26.5833333333333;35
Барнаул;Барнаул;67124;2014;28.0;Барнаул;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;57;поступил сразу;11;0;0.0;3;14120;1996;17.6666666666667;6861
Барнаул;Барнаул;71515;2015;26.0;иное;Гимназия;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;79;поступил сразу;11;0;0.0;4;19437;1997;17.6666666666667;6861
Барнаул;Барнаул;70744;2015;35.0;Бийск;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;75;поступил сразу;01;0;0.0;4;19484;1997;18.5;6861
Барнаул;Барнаул;81829;2017;41.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;55.575;два года;07;1;1.0;4;20083;1999;18;6861
Барнаул;Барнаул;84755;2018;24.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;50;поступил сразу;09;1;1.0;3;20548;2000;17.8333333333333;6861
Боровое;Боровое;58486;2013;47.0;Алтайский Край;иное;Жен;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;73.5;поступил сразу;04;0;0.0;3;13920;1997;16.25;7
малое поселение;Северск;87114;2018;51.0;иное;Университет;Муж;БН;Английский язык;Россия;Томская область;0;Россия;0.0;0.0;1;76;свыше 10 лет;08;1;1.0;-1;22233;1990;27.8333333333333;1
Барнаул;Барнаул;65504;2014;40.0;Барнаул;ФГБОУ ВПО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;94;один год;05;0;0.0;4;15399;1991;23.1666666666667;6861
Барнаул;Барнаул;77164;2016;41.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;56.475;поступил сразу;08;1;1.0;4;19685;2000;15.9166666666667;6861
Ключи;Ключи;88282;2018;26.0;Барнаул;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;0;не указана;1.0;0.0;1;85;один год;06;1;1.0;4;21753;1995;23.0833333333333;27
Барнаул;Барнаул;81898;2017;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;65.28;поступил сразу;06;1;1.0;3;22272;2001;16.0833333333333;6861
Ключи;Ключи;75659;2016;25.0;Алтайский Край;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;56;поступил сразу;05;1;1.0;3;20816;1998;18.1666666666667;27
Барнаул;Барнаул;76504;2016;25.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;поступил сразу;03;1;1.0;4;18147;1995;21.3333333333333;6861
Сибирский;Сибирский;72458;2015;41.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;54;поступил сразу;09;0;0.0;4;19509;1999;15.8333333333333;73
Глядень;Глядень;80704;2017;51.0;Барнаул;Колледж;Муж;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;46;один год;12;1;1.0;3;19043;1995;21.5833333333333;6
Рубцовск;Рубцовск;76748;2016;31.0;Алтайский Край;средняя школа;Муж;ОО;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;59;три года;02;1;1.0;3;18879;1995;21.4166666666667;190
Кош;Кош;56749;2013;26.0;Барнаул;техникум;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;40;поступил сразу;03;0;0.0;3;12404;1993;20.3333333333333;32
Бийск;Бийск;76661;2016;26.0;Бийск;Колледж;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;65;поступил сразу;07;1;1.0;4;20654;1998;18;540
Барнаул;Барнаул;65523;2014;40.0;Барнаул;Колледж;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;50;два года;01;0;0.0;3;18177;1992;22.4166666666667;6861
неизвестно;неизвестно;57203;2012;51.0;не указано;не указано;Жен;БН;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;38;нет данных об обучении до ВУЗа;07;1;1.0;3;12521;1987;25;490
малое поселение;Лаврентия;71618;2015;26.0;иное;средняя школа;Муж;СН;Английский язык;Россия;АО Чукотский;0;Россия;0.0;0.0;1;40;один год;04;0;0.0;3;21770;1997;18.25;1
Барнаул;Барнаул;46306;2012;41.0;Барнаул;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;56;поступил сразу;06;1;1.0;4;16106;1994;18.0833333333333;6861
малое поселение;Юдиха;74826;2016;24.0;Алтайский Край;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;1;Россия;1.0;0.0;1;45;поступил сразу;03;1;1.0;4;20643;1998;18.25;2
Барнаул;Барнаул;84048;2017;26.0;Барнаул;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;68;поступил сразу;06;1;1.0;4;20887;1995;22.0833333333333;6861
Барнаул;Барнаул;70907;2015;25.0;Барнаул;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;81;поступил сразу;05;0;0.0;4;19469;1997;18.1666666666667;6861
Барнаул;Барнаул;49123;2012;26.0;Барнаул;Колледж;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;49;поступил сразу;04;1;1.0;4;14821;1993;19.25;6861
Красногорское;Красногорское;73753;2015;48.0;Алтайский Край;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;55.005;три года;03;0;0.0;4;20939;1994;21.3333333333333;22
малое поселение;Костин;72533;2015;41.0;Алтайский Край;средняя школа;Жен;СН;Немецкий язык;Россия;Алтайский край;1;Россия;1.0;0.0;0;69;поступил сразу;11;0;0.0;4;17436;1996;18.6666666666667;4
Горно;Горно;90363;2019;34.0;Горно-Алтайск;ФГБОУ ВО;Муж;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;1.0;1;70;поступил сразу;03;0;0.0;-1;22070;1996;23.3333333333333;113
Барнаул;Барнаул;70001;2015;51.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;92;поступил сразу;09;0;0.0;4;17387;1993;21.75;6861
Черемное;Черемное;84283;2017;26.0;Барнаул;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;45;один год;02;1;1.0;4;20960;1994;23.4166666666667;17
Белокуриха;Белокуриха;88819;2018;45.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;45.99;один год;08;1;1.0;3;20557;2001;16.9166666666667;88
малое поселение;Калистратиха;65290;2014;34.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;38;поступил сразу;03;0;0.0;4;18599;1995;19.3333333333333;4
Барнаул;Барнаул;55969;2013;28.0;Казахстан;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;1;Казахстан;0.0;0.0;1;66;поступил сразу;07;0;0.0;3;16127;1995;18;6861
Бийск;Бийск;82353;2017;41.0;Бийск;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;57;поступил сразу;01;1;1.0;4;20087;2000;17.4166666666667;540
Бийск;Бийск;76841;2016;36.0;Бийск;ФГБОУ ВО;Жен;БН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;35;поступил сразу;01;1;1.0;4;22115;1995;21.5;540
Солнечное;Солнечное;77193;2016;41.0;Новоалтайск;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;0;66.18;поступил сразу;07;1;1.0;4;20727;2000;16;6
Барнаул;Барнаул;48333;2012;26.0;не указано;не указано;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;80;нет данных об обучении до ВУЗа;02;1;1.0;4;14841;1994;18.3333333333333;6861
Барнаул;Барнаул;88670;2018;26.0;Барнаул;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;68;поступил сразу;01;1;1.0;4;21753;1996;22.4166666666667;6861
малое поселение;Малый;82965;2017;25.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;53;два года;05;1;1.0;3;19058;1997;20.1666666666667;1
неизвестно;неизвестно;76207;2016;26.0;Алтайский Край;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;68;поступил сразу;07;1;1.0;4;20653;1998;18;490
Барнаул;Барнаул;71478;2015;26.0;Барнаул;ФГБОУ ВО;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;45;поступил сразу;09;0;0.0;4;19440;1995;19.75;6861
Барнаул;Барнаул;74706;2016;51.0;Барнаул;средняя школа;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;67;поступил сразу;11;1;1.0;4;20663;1998;17.5833333333333;6861
Сибирский;Сибирский;70086;2015;40.0;Барнаул;ФГБОУ ВПО;Муж;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;95;один год;03;0;0.0;4;17174;1992;23.3333333333333;73
Бийск;Бийск;88265;2018;26.0;Горно-Алтайск;ФГБОУ ВО;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;57;поступил сразу;04;1;1.0;4;21753;1996;22.25;540
Барнаул;Барнаул;84109;2017;26.0;Барнаул;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;83;поступил сразу;10;1;1.0;4;20970;1995;21.75;6861
Барнаул;Барнаул;76023;2016;26.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;49;поступил сразу;06;1;1.0;4;20650;1998;18.0833333333333;6861
Новоалтайск;Новоалтайск;82653;2017;41.0;Новоалтайск;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;72.69;два года;03;1;1.0;3;20095;1997;20.3333333333333;398
Барнаул;Барнаул;71297;2015;28.0;Барнаул;средняя школа;Муж;БН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;81;поступил сразу;06;0;0.0;4;19375;1997;18.0833333333333;6861
Барнаул;Барнаул;66219;2014;25.0;Барнаул;ФГБОУ ВО;Жен;СН;Немецкий язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;42;поступил сразу;07;0;0.0;4;17028;1995;18.9166666666667;6861
Новоалтайск;Новоалтайск;72834;2015;41.0;Новоалтайск;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;72.36;поступил сразу;03;0;0.0;3;17430;1993;22.3333333333333;398
Барнаул;Барнаул;52323;2013;41.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;39;поступил сразу;01;0;0.0;4;15538;1996;17.5;6861
Кош;Кош;60018;2012;41.0;иное;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;43;два года;07;1;1.0;3;19679;1994;18;32
Барнаул;Барнаул;49664;2013;25.0;Казахстан;средняя школа;Муж;ОО;Английский язык;Россия;Алтайский край;0;Казахстан;0.0;0.0;1;91;поступил сразу;12;0;0.0;4;16856;1995;17.5;6861
Славгород;Славгород;73701;2015;25.0;иное;техникум;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;44;один год;02;1;1.0;3;17815;1994;21.4166666666667;129
Барнаул;Барнаул;66573;2014;25.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;07;0;0.0;3;14260;1996;18;6861
Барнаул;Барнаул;68184;2014;26.0;Барнаул;ФГБОУ ВО;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;75;поступил сразу;12;0;0.0;4;17045;1992;21.5833333333333;6861
неизвестно;неизвестно;58681;2012;48.0;не указано;не указано;Муж;СН;нет данных;не указана;не указано;0;не указана;0.0;0.0;1;43;нет данных об обучении до ВУЗа;02;1;1.0;4;16974;1982;30.3333333333333;490
Барнаул;Барнаул;72509;2015;41.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;51.555;поступил сразу;09;0;0.0;4;17435;1997;17.8333333333333;6861
малое поселение;Бажево;76092;2016;26.0;Алтайский Край;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;48;поступил сразу;01;1;1.0;3;18517;1998;18.5;3
Барнаул;Барнаул;65994;2014;35.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;1;Россия;0.0;0.0;1;71;поступил сразу;11;0;0.0;4;18859;1996;17.5833333333333;6861
Красный;Красный;47701;2012;36.0;Барнаул;Колледж;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;84;два года;07;1;1.0;4;16915;1987;25;18
Барнаул;Барнаул;72296;2015;30.0;Барнаул;ФГБОУ ВО;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;97;поступил сразу;03;0;0.0;4;17247;1992;23.25;6861
Барнаул;Барнаул;66630;2014;25.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;39;поступил сразу;11;0;0.0;3;18333;1995;18.6666666666667;6861
неизвестно;неизвестно;48574;2012;24.0;не указано;не указано;Жен;ОО;нет данных;Россия;не указано;0;не указана;0.0;0.0;0;0;нет данных об обучении до ВУЗа;09;1;1.0;4;14665;1994;17.8333333333333;490
Барнаул;Барнаул;70387;2015;31.0;Казахстан;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;не указана;0.0;0.0;1;86;поступил сразу;06;0;0.0;4;19419;1997;18.0833333333333;6861
Косиха;Косиха;70865;2015;25.0;Казахстан;средняя школа;Жен;ДН;Английский язык;Казахстан;Алтайский край;0;Казахстан;0.0;0.0;1;79;поступил сразу;09;0;0.0;4;19463;1997;17.8333333333333;12
Шебалино;Шебалино;88375;2018;26.0;Новосибирск;ФГБОУ ВО;Жен;ДН;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;33;один год;09;1;1.0;4;21755;1994;23.8333333333333;21
Бийск;Бийск;72606;2015;48.0;Бийск;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;60;поступил сразу;04;0;0.0;4;18433;1997;18.25;540
Барнаул;Барнаул;77056;2016;41.0;Барнаул;средняя школа;Муж;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;0;54;поступил сразу;08;1;1.0;3;22275;1998;17.8333333333333;6861
Барнаул;Барнаул;71640;2015;26.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;63;поступил сразу;07;0;0.0;3;18308;1997;18;6861
Барнаул;Барнаул;65324;2014;51.0;Барнаул;средняя школа;Жен;СН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;49;поступил сразу;04;0;0.0;4;18193;1996;18.25;6861
Барнаул;Барнаул;70217;2015;35.0;Алтайский Край;средняя школа;Жен;ОО;Английский язык;Россия;Алтайский край;0;Россия;1.0;0.0;1;49;два года;03;0;0.0;3;17318;1995;20.3333333333333;6861
Барнаул;Барнаул;66590;2014;25.0;Барнаул;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;0.0;1;46;поступил сразу;05;0;0.0;4;19399;1996;18.1666666666667;6861
Барнаул;Барнаул;72006;2015;34.0;Казахстан;средняя школа;Жен;БН;Английский язык;Россия;Алтайский край;1;Казахстан;0.0;1.0;1;74;поступил сразу;05;0;0.0;4;19450;1997;18.1666666666667;6861
Барнаул;Барнаул;48534;2012;25.0;Барнаул;техникум;Муж;ОО;Английский язык;Россия;Алтайский край;0;не указана;0.0;0.0;1;45;от трех до пяти лет;01;1;1.0;3;13326;1990;22.5;6861
Барнаул;Барнаул;57143;2013;25.0;Алтайский Край;средняя школа;Муж;ДН;Английский язык;Россия;Алтайский край;0;Россия;0.0;не указано;1;55;два года;07;0;0.0;3;13287;1993;20;6861
